eng,jap,kata
bedsheets,もっこり,hiragana
net,あみ,hiragana
screen,スクリーン,katakana
mugs,マッグ,katakana
flowers,はなばな,hiragana
wheat,こむぎ,hiragana
booth,ブース,katakana
ant,あり,hiragana
cake,ケーキ,katakana
track,せんろ,hiragana
books,ほん,hiragana
box,はこ,hiragana
map,マップ,katakana
van,かしゃ,hiragana
beehive,はちのす,hiragana
knife,ナイフ,katakana
wax,ろう,hiragana
lock,じょう,hiragana
crib,ねどこ,hiragana
thorns,とげ,hiragana
sink,ながし,hiragana
vest,ベスト,katakana
robe,ころも,hiragana
bowl,ボウル,katakana
drum,ドラム,katakana
ship,シップ,katakana
goalpost,けっしょうてん,hiragana
mouse,ねずみ,hiragana
cloth,ぬの,hiragana
truck,トラック,hiragana
rope,ロープ,katakana
spoon,スプーン,katakana
juice, ジュース,katakana
fist,げんこつ,hiragana
crown,クラウン,katakana
swan,スワン,katakana
coin,コイン,katakana
broom,ほうき,hiragana
garage,しゃこ,hiragana
clock,とけい,hiragana
tablets,やくざい,hiragana
knob,ノブ,katakana
medal,しょうはい,katakana
sling,さんかくきん,katakana
trap,トラップ,katakana
thief,どろぼう,hiragana
mop, ぬぐう,katakana
cot,ねどこ,hiragana
bench,ベンチ,katakana
flood,こうずい,hiragana
hen,めんどり,hiragana
tent,テント,katakana
ox,うし,hiragana
frogs,かえる,hiragana
sheep,ひつじ,hiragana
pool,プール,katakana
dove,はと,katakana
lungs,むね,hiragana
gown,ころも,katakana
tide,しお,hiragana
wheels,りょうりん,hiragana
calf,こうし,hiragana
police,さつ ,hiragana
cap,キャップ,katakana
pie,パイ,katakana
mat,マット,katakana
nail,くぎ,hiragana
door,ドア,katakana
stamp,きって,hiragana
soap,せっけん,hiragana
teeth,はならび,hiragana
fish,さかな,hiragana
milk,ミルク,katakana
church,きょうかい,hiragana
chair,いす,hiragana
tea,ちゃ,hiragana
sun,たいよう,hiragana
tongue,した,hiragana
cow,うし,hiragana
shoes,シューズ,katakana
ring,ゆびわ,hiragana
keys,かぎ,hiragana
aeroplane,ひこうき,hiragana
tree,じゅもく,hiragana
stars,ほしぼし,hiragana
kite,カイト,katakana
bag,かばん,hiragana
socks,ソックス,katakana
eyes,おめめ,hiragana
bank,ぎんこう,hiragana
gifts,プレゼンツ,katakana
plates,こうはん,hiragana
pants,ズボン,hiragana
nest,ネスト,katakana
fire,かじ,hiragana
restaurant,レストラン,katakana
taxi,タクシー,katakana
camera,カメラ,katakana
passport,パスポート,katakana
